 51 1911.187693 2.314E-28 1.290E+01.03590.038 4862.74110.67-.002851              1              0                    P 50      47562310 8 5 5 1 8    99.0  101.0
 51 1912.910229 1.231E-30 2.583E+01.03780.040 6060.49900.67-.002829              2              1                    P 45      47562310 8 5 5 1 8    89.0   91.0
 51 1916.569009 5.702E-28 1.301E+01.03620.038 4673.53810.67-.002846              1              0                    P 49      47562310 8 5 5 1 8    97.0   99.0
 51 1918.115672 2.746E-30 2.603E+01.03820.040 5891.27140.67-.002826              2              1                    P 44      47562310 8 5 5 1 8    87.0   89.0
 51 1921.922433 1.379E-27 1.311E+01.03660.039 4488.00120.67-.002841              1              0                    P 48      47562310 8 5 5 1 8    95.0   97.0
 51 1923.292511 6.013E-30 2.623E+01.03860.041 5725.70900.67-.002822              2              1                    P 43      47562310 8 5 5 1 8    85.0   87.0
 51 1927.247824 3.276E-27 1.322E+01.03700.039 4306.13750.67-.002837              1              0                    P 47      47562310 8 5 5 1 8    93.0   95.0
 51 1928.440602 1.293E-29 2.644E+01.03900.041 5563.81840.67-.002819              2              1                    P 42      47562310 8 5 5 1 8    83.0   85.0
 51 1932.545040 7.640E-27 1.332E+01.03740.040 4127.95390.67-.002833              1              0                    P 46      47562310 8 5 5 1 8    91.0   93.0
 51 1933.559804 2.729E-29 2.664E+01.03950.042 5405.60560.67-.002817              2              1                    P 41      47562310 8 5 5 1 8    81.0   83.0
 51 1937.813941 1.749E-26 1.343E+01.03780.040 3953.45740.67-.002829              1              0                    P 45      47562310 8 5 5 1 8    89.0   91.0
 51 1938.649974 5.655E-29 2.685E+01.03990.042 5251.07690.67-.002815              2              1                    P 40      47562310 8 5 5 1 8    79.0   81.0
 51 1943.054383 3.932E-26 1.353E+01.03820.040 3782.65470.67-.002826              1              0                    P 44      47562310 8 5 5 1 8    87.0   89.0
 51 1943.350357 1.683E-31 4.051E+01.04270.045 6497.55860.67-.002809              3              2                    P 34      47566310 8 5 5 1 8    67.0   69.0
 51 1943.710969 1.150E-28 2.705E+01.04030.043 5100.23820.67-.002813              2              1                    P 39      47562310 8 5 5 1 8    77.0   79.0
 51 1948.198244 3.040E-31 4.081E+01.04320.046 6370.16770.67-.002809              3              2                    P 33      47566310 8 5 5 1 8    65.0   67.0
 51 1948.266225 8.676E-26 1.364E+01.03860.041 3615.55210.67-.002822              1              0                    P 43      47562310 8 5 5 1 8    85.0   87.0
 51 1948.742646 2.296E-28 2.726E+01.04080.043 4953.09540.67-.002811              2              1                    P 38      47562310 8 5 5 1 8    75.0   77.0
 51 1953.015948 5.390E-31 4.112E+01.04380.046 6246.46950.67-.002810              3              2                    P 32      47566310 8 5 5 1 8    63.0   65.0
 51 1953.449325 1.879E-25 1.374E+01.03900.041 3452.15630.67-.002819              1              0                    P 42      47562310 8 5 5 1 8    83.0   85.0
 51 1953.744862 4.499E-28 2.747E+01.04130.044 4809.65410.67-.002810              2              1                    P 37      47562310 8 5 5 1 8    73.0   75.0
 51 1957.803326 9.376E-31 4.143E+01.04430.047 6126.46900.67-.002811              3              2                    P 31      47566310 8 5 5 1 8    61.0   63.0
 51 1958.603539 3.995E-25 1.385E+01.03950.042 3292.47340.67-.002817              1              0                    P 41      47562310 8 5 5 1 8    81.0   83.0
 51 1958.717473 8.652E-28 2.768E+01.04170.044 4669.92000.67-.002809              2              1                    P 36      47562310 8 5 5 1 8    71.0   73.0
 51 1962.560233 1.600E-30 4.174E+01.04480.047 6010.17090.67-.002813              3              2                    P 30      47566310 8 5 5 1 8    59.0   61.0
 51 1963.660335 1.633E-27 2.789E+01.04220.045 4533.89830.67-.002809              2              1                    P 35      47562310 8 5 5 1 8    69.0   71.0
 51 1963.728726 8.336E-25 1.395E+01.03990.042 3136.50950.67-.002815              1              0                    P 40      47562310 8 5 5 1 8    79.0   81.0
 51 1967.286525 2.679E-30 4.205E+01.04540.048 5897.57960.67-.002815              3              2                    P 29      47566310 8 5 5 1 8    57.0   59.0
 51 1968.573304 3.024E-27 2.810E+01.04270.045 4401.59440.67-.002809              2              1                    P 34      47562310 8 5 5 1 8    67.0   69.0
 51 1968.824741 1.707E-24 1.406E+01.04030.043 2984.27070.67-.002813              1              0                    P 39      47562310 8 5 5 1 8    77.0   79.0
